TIPO_VIA;SINONIMO;DESCRIPCION;COMENTARIO
LORAK;LORAK;LORATEGIAK;
LORAK;LORAT;LORATEGIAK;
LORAK;XDIN;LORATEGIAK;
LORAT;JDIN;LORATEGI;
LORAT;LORAK;LORATEGI;
LORAT;LORAT;LORATEGI;
LORAT;XDIN;LORATEGI;
LUGAR;LEKU;LUGAR;
LUGAR;LLOC;LUGAR;
LUGAR;LUGAR;LUGAR;
MALEC;MALEC;MALECON;
MASIA;MASIA;MASIA;
MAZO;MAZO;MAZO;
MENDI;MENDI;MENDI;
MENDI;MONTE;MENDI;
MIRAD;MIRAD;MIRADOR;
MOLI;MOLI;MOLÍ;
MOLL;MOLL;MOLL;
MONTE;MENDI;MONTE;
MONTE;MONTE;MONTE;
MUELL;KAI;MUELLE;
MUELL;MUELL;MUELLE;
ONDAR;HONDA;ONDARTZA;
ONDAR;PLAYA;ONDARTZA;
ONDAR;PRAIA;ONDARTZA;
ONDAR;PTJA;ONDARTZA;
PAGO;PAGO;PAGO;
PARC;PARC;PARQUE;
PARC;PARKE;PARQUE;
PARC;PQUE;PARQUE;
PARKE;PARC;PARKE;
PARKE;PARKE;PARKE;
PARKE;PQUE;PARKE;
PARTI;PARTI;PARTICULAR;
PAS;PAS;PAS;
PASAI;PASAI;PASAIA;
PASAI;PSAJE;PASAIA;
PASAI;PSAXE;PASAIA;
PASAI;PTGE;PASAIA;
PASEA;IBILB;PASEABIDE;
PASEA;PASEA;PASEABIDE;
PASEA;PASEO;PASEABIDE;
PASEA;PG;PASEABIDE;
PASEO;IBILB;PASEO;
PASEO;PASEA;PASEO;
PASEO;PASEO;PASEO;
PASEO;PG;PASEO;
PBDO;PBDO;POBLADO;
PDA;PDA;PUJADA;
PDIS;PDIS;PASSADIS;
PDIS;PZO;PASSADIS;
PG;IBILB;PASSEIG;
PG;PASEA;PASSEIG;
PG;PASEO;PASSEIG;
PG;PG;PASSEIG;
PINAR;PINAR;PINAR;
PISTA;PISTA;PISTA;
PJDA;PJDA;PUJADA,SUBIDA;
PJDA;SBIDA;PUJADA,SUBIDA;
PL;EPTZA;PLACA;
PL;PL;PLACA;
PL;PL;PLAÇA;
PL;PLAÇA;PLAÇA;
PL;PLAZA;PLACA;
PL;PLZ;PLAÇA;
PLA;PLA;PLA;
PLAÇA;PL;PLAÇA;
PLAÇA;PLAÇA;PLAÇA;
PLAÇA;PLACA;PLAÇA;
PLAÇA;PLAZA;PLAÇA;
PLAÇA;PLZ;PLAÇA;
PLAYA;HONDA;PLAYA;
PLAYA;PLAYA;PLAYA;
PLAYA;PRAIA;PLAYA;
PLAYA;PTJA;PLAYA;
PLAZA;EPTZA;PLAZA;
PLAZA;PL;PLAZA;
PLAZA;PLAÇA;PLAZA;
PLAZA;PLAZA;PLAZA;
PLAZA;PLZ;PLAZA;
PLCET;PLCET;PLACETA;
PLCNA;PLCNA;PLACINA;
PLLO;PLLO;PASILLO;
PLZ;EPTZA;PLAZA;
PLZ;PL;PLAZA;
PLZ;PLAÇA;PLAZA;
PLZ;PLAZA;PLAZA;
PLZ;PLZ;PLAZA;
PLZLA;PLZLA;PLAZUELA;
PNTE;PNTE;PUENTE;
POLIG;POLIG;POLIGONO;
PONT;PONT;PONT;
PONT;PONTE;PONT;
PONTE;PONT;PONTE;
PONTE;PONTE;PONTE;
PORT;PORT;PORT;
PQUE;PARC;PARQUE;
PQUE;PARKE;PARQUE;
PQUE;PQUE;PARQUE;
PRAÑA;PRAÑA;PRACIÑA;
PRAGE;PRAGE;PARATGE;
PRAGE;PRAJE;PARATGE;
PRAGE;PSAXE;PARATGE;
PRAGE;TOKI;PARATGE;
PRAIA;HONDA;PRAIA;
PRAIA;PLAYA;PRAIA;
PRAIA;PRAIA;PRAIA;
PRAIA;PTJA;PRAIA;
PRAJE;PRAGE;PARAJE;
PRAJE;PRAJE;PARAJE;
PRAJE;PSAXE;PARAJE;
PRAJE;TOKI;PARAJE;
PRAZA;PRAZA;PRAZA;
PROBA;PROBA;PRUEBA;
PROL;PROL;PROLONGACION;
PROL;PROL;PORLONGACION;
PRTAL;PRTAL;PORTAL;
PSAJE;PASAI;PASAJE;
PSAJE;PSAJE;PASAJE;
PSAJE;PSAXE;PASAJE;
PSAJE;PTGE;PASAJE;
PSAXE;PASAI;PASAXE;
PSAXE;PRAGE;PARAXE;
PSAXE;PRAJE;PARAXE;
PSAXE;PSAJE;PASAXE;
PSAXE;PSAXE;PARAXE;
PSAXE;PSAXE;PASAXE;
PSAXE;PSAXE;PASAXE;
PSAXE;PTGE;PASAXE;
PSAXE;TOKI;PARAXE;
PTDA;PTDA;PARTIDA;
PTGE;PASAI;PASSATGE;
PTGE;PSAJE;PASSATGE;
PTGE;PSAXE;PASSATGE;
PTGE;PTGE;PASSATGE;
PTILO;PTILO;PORTILLO;
PTJA;HONDA;PLATJA;
PTJA;PLAYA;PLATJA;
PTJA;PRAIA;PLATJA;
PTJA;PTJA;PLATJA;
PTLLO;PTLLO;PORTILLO;
PZO;PDIS;PASADIZO;
PZO;PZO;PASADIZO;
PZTA;PZTA;PLAZOLETA;
PZTXO;PZTXO;PLAZATXOA;
RABAL;ARRAL;RABAL;
RABAL;ERREB;RABAL;
RABAL;RABAL;RABAL;
RABAL;RAVAL;RABAL;
RACDA;RACDA;RACONADA;
RACDA;RCDA;RACONADA;
RACO;RACO;RACO;
RACO;RCON;RACO;
RAMAL;RAMAL;RAMAL;
RAMPA;RAMPA;RAMPA;
RAMPS;RAMPS;RAMPAS;
RAVAL;ARRAL;RAVAL;
RAVAL;ERREB;RAVAL;
RAVAL;RABAL;RAVAL;
RAVAL;RAVAL;RAVAL;
RBLA;RBLA;RAMBLA;
RBLTA;RBLTA;RAMBLETA;
RBRA;RBRA;RIBERA;
RCDA;RACDA;RINCONADA;
RCDA;RCDA;RINCONADA;
